class_name,architecture,experiment_name,selection_basis,source_checkpoint,versioned_checkpoint,alias_checkpoint,sha256,selection_is_final,note
ROI,deeplabv3,deeplabv3_roi_50ep_group_video_earlystop,validation checkpoint score,not distributed,models/segmentation_checkpoints/best_roi_model.pth,models/segmentation_checkpoints/best_roi_model.pth,74cedadd0584f43a9c0e7377617be21f3c36b0d4299209b3373eea8236fc2361,False,Frozen system checkpoint; no independent segmentation ground truth was available.
Higado,deeplabv3,deeplabv3_higado_pretrained_imagenet_50ep,validation checkpoint score,not distributed,models/segmentation_checkpoints/best_higado_model.pth,models/segmentation_checkpoints/best_higado_model.pth,88126901ebab1cba1faaf25d65628a5f583c604675382a6c3c05192d7d3892f6,False,Frozen system checkpoint; no independent segmentation ground truth was available.
LA,unet,unet_la_pretrained_imagenet_50ep_balanced,validation combined LA score with positive-Dice and empty-mask false-positive tie break,not distributed,models/segmentation_checkpoints/best_la_model.pth,models/segmentation_checkpoints/best_la_model.pth,3e2626cb387aae061c26af76ebe900db59a53f1a00e1cb73abf550a0d5d82f45,False,Frozen system checkpoint; no independent segmentation ground truth was available.
