experiment_name,strategy,augmentation,sampling_strategy,configured_epochs,executed_epochs,base_positive_samples,base_empty_samples,effective_positive_samples,effective_empty_samples,effective_samples_per_epoch,total_sample_draws,best_epoch,valid_combined_la_score,valid_positive_dice,valid_positive_recall,valid_empty_gt_false_positive_rate,test_positive_dice,test_positive_iou,test_positive_recall,test_empty_gt_false_positive_rate,test_combined_la_score
unet_la_50ep_group_video_balanced,none+balanced_la,none,balanced_la,50,41,,,,,606,24846,26,0.3153852520470497,0.519686327315867,0.4511951110325753,0.2043010752688172,0.8391886895462279,0.7510976948630489,0.8569163398418532,0.1739130434782608,0.6652756460679671
unet_la_50ep_group_video_earlystop,none+natural,none,natural,50,28,,,,,606,16968,13,0.2358058869678487,0.5530101880431175,0.4051415659487247,0.3172043010752688,0.631217708652767,0.4960963067792651,0.5878485224573068,0.0652173913043478,0.5660003173484193
unet_la_augx4_10ep_group_video_balanced,x4+balanced_la,x4,balanced_la,10,10,,,,,2424,24240,1,-0.0918949500917987,0.236062039155513,0.2277458715252578,0.3279569892473118,0.78673359481846,0.6714244306194979,0.8226803357060278,0.1304347826086956,0.6562988122097643
unet_la_positive_x4_50ep_group_video_natural,positive_x4+natural,positive_x4,natural,50,26,85.0,521.0,340.0,521.0,861,22386,11,-0.1016867422568862,0.5058401394635439,0.4799066158011555,0.6075268817204301,0.6360769067298282,0.5010685796426101,0.5837043782653795,0.8043478260869565,-0.1682709193571283
