experiment_name,class_name,architecture,pretrained,encoder,encoder_weights,fine_tuning,best_epoch,selection_score,valid_dice,valid_positive_dice,valid_empty_gt_false_positive_rate,test_dice,test_positive_dice,test_positive_recall,test_empty_gt_false_positive_rate,test_combined_la_score
deeplabv3_higado_50ep_group_video_earlystop,Higado,deeplabv3,False,resnet34,none,completo; encoder no congelado,9,0.9222784293170022,0.9222784293170022,0.9222784293170022,0.0,0.9353656674375628,0.9353656674375628,0.954795236044591,0.0,0.9353656674375628
deeplabv3_higado_pretrained_imagenet_50ep,Higado,deeplabv3,True,resnet34,imagenet,completo; encoder no congelado,4,0.9327811775821272,0.9327811775821272,0.9327811775821272,0.0,0.941616927633191,0.941616927633191,0.943857753630912,0.0,0.941616927633191
unet_la_50ep_group_video_balanced,LA,unet,False,resnet34,none,completo; encoder no congelado,26,0.3153852520470497,0.7738365411655898,0.519686327315867,0.2043010752688172,0.8332215647154214,0.8391886895462279,0.8569163398418532,0.1739130434782608,0.6652756460679671
unet_la_pretrained_imagenet_50ep_balanced,LA,unet,True,resnet34,imagenet,completo; encoder no congelado,18,0.3226448652780144,0.86037983479393,0.424795402912423,0.1021505376344086,0.8424789182764321,0.8198249220957429,0.828962601325826,0.1304347826086956,0.6893901394870472
deeplabv3_roi_50ep_group_video_earlystop,ROI,deeplabv3,False,resnet34,none,completo; encoder no congelado,3,0.994849184362015,0.994849184362015,0.994849184362015,0.0,0.9927392596065407,0.9927392596065407,0.9860299288636388,0.0,0.9927392596065407
deeplabv3_roi_pretrained_imagenet_50ep,ROI,deeplabv3,True,resnet34,imagenet,completo; encoder no congelado,8,0.9947925670312184,0.9947925670312184,0.9947925670312184,0.0,0.9929242529491388,0.9929242529491388,0.9865254222756564,0.0,0.9929242529491388
segformer_roi_50ep_group_video_earlystop,ROI,segformer,False,MiT-B0,none (configuracion B0),completo; encoder no congelado,10,0.9702300137222404,0.9702300137222404,0.9702300137222404,0.0,0.9879626814681703,0.9879626814681703,0.9831810150996292,0.0,0.9879626814681703
segformer_roi_pretrained_mitb0_50ep,ROI,segformer,True,MiT-B0,nvidia/mit-b0,completo; encoder no congelado,23,0.9863641318118218,0.9863641318118218,0.9863641318118218,0.0,0.9926013728179554,0.9926013728179554,0.989750584753433,0.0,0.9926013728179554
