experiment,target,architecture,encoder,encoder_initialization,fine_tuning,pretrained,max_epochs,completed_epochs,seed,input_px,batch_size,learning_rate,weight_decay,augmentation,sampling,split_strategy,train_n,valid_n,test_n,test_dice,max_reaggregation_delta,checkpoint_exists
deeplabv3_higado_pretrained_imagenet_50ep,Higado,DeepLabV3+,resnet34,imagenet,completo; encoder no congelado,True,50,14,42,512,2,0.001,0.0001,none,natural,group_video,606,202,101,0.941616927633191,0.0,True
deeplabv3_la_pretrained_imagenet_50ep_balanced,LA,DeepLabV3+,resnet34,imagenet,completo; encoder no congelado,True,50,32,42,512,2,0.001,0.0001,none,balanced_la,group_video,606,202,101,0.8114233850305419,0.0,True
deeplabv3_roi_pretrained_imagenet_50ep,ROI,DeepLabV3+,resnet34,imagenet,completo; encoder no congelado,True,50,18,42,512,2,0.001,0.0001,none,natural,group_video,606,202,101,0.9929242529491388,1.1102230246251565e-16,True
segformer_higado_pretrained_mitb0_50ep,Higado,SegFormer,MiT-B0,nvidia/mit-b0,completo; encoder no congelado,True,50,20,42,512,2,0.001,0.0001,none,natural,group_video,606,202,101,0.9235013469611064,0.0,True
segformer_la_pretrained_mitb0_50ep_balanced,LA,SegFormer,MiT-B0,nvidia/mit-b0,completo; encoder no congelado,True,50,20,42,512,2,0.001,0.0001,none,balanced_la,group_video,606,202,101,0.7487548219759866,0.0,True
segformer_roi_pretrained_mitb0_50ep,ROI,SegFormer,MiT-B0,nvidia/mit-b0,completo; encoder no congelado,True,50,33,42,512,2,0.001,0.0001,none,natural,group_video,606,202,101,0.9926013728179554,0.0,True
unet_higado_pretrained_imagenet_50ep,Higado,U-Net,resnet34,imagenet,completo; encoder no congelado,True,50,13,42,512,2,0.001,0.0001,none,natural,group_video,606,202,101,0.9404043171665456,1.1102230246251565e-16,True
unet_la_pretrained_imagenet_50ep_balanced,LA,U-Net,resnet34,imagenet,completo; encoder no congelado,True,50,33,42,512,2,0.001,0.0001,none,balanced_la,group_video,606,202,101,0.8424789182764321,1.1102230246251565e-16,True
unet_roi_pretrained_imagenet_50ep,ROI,U-Net,resnet34,imagenet,completo; encoder no congelado,True,50,12,42,512,2,0.001,0.0001,none,natural,group_video,606,202,101,0.9922430940193704,1.1102230246251565e-16,True
