experiment_name,evaluation_split,class_name,architecture,epochs,image_size,resize_mode,augmentation,sampling_strategy,pretrained,split_strategy,seed,early_stopping_patience,checkpoint_min_delta,timestamp,experiment_path,result_status,best_epoch,checkpoint_metric,checkpoint_score,valid_images,valid_dice,valid_iou,valid_precision,valid_recall,valid_f1,valid_mean_gt_area_px,valid_mean_pred_area_px,valid_positive_images,valid_empty_gt_images,valid_positive_dice,valid_positive_iou,valid_positive_precision,valid_positive_recall,valid_empty_gt_false_positive_images,valid_empty_gt_false_positive_rate,valid_empty_gt_mean_pred_area_px,valid_positive_mean_gt_area_px,valid_positive_mean_pred_area_px,valid_combined_la_score,valid_loss,test_images,test_dice,test_iou,test_precision,test_recall,test_f1,test_mean_gt_area_px,test_mean_pred_area_px,test_positive_images,test_empty_gt_images,test_positive_dice,test_positive_iou,test_positive_precision,test_positive_recall,test_empty_gt_false_positive_images,test_empty_gt_false_positive_rate,test_empty_gt_mean_pred_area_px,test_positive_mean_gt_area_px,test_positive_mean_pred_area_px,test_combined_la_score,test_loss,parameter_count,checkpoint_path
segformer_la_50ep_group_video_balanced,test,LA,segformer,50,512,full_resize,none,balanced_la,False,group_video,42,15,0.0001,2026-06-28T22:45:50,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\segformer_la_50ep_group_video_balanced,controlled_experimental,,,,,,,,,,,,,,,,,,,,,,,,,101.0,0.7276336038012555,0.6583009765720843,0.8982369358915115,0.7334803960361143,0.7276336038012555,410.7920792079208,241.26732673267327,55.0,46.0,0.6089271629587156,0.4816072475015104,0.9222169182517312,0.5105730909026823,6.0,0.1304347826086956,4.695652173913044,754.3636363636364,439.1272727272727,0.4784923803500199,0.6775457838384231,3714401.0,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\segformer_la_50ep_group_video_balanced\best_model.pth
segformer_roi_50ep_group_video_earlystop,validation,ROI,segformer,50,512,full_resize,none,natural,False,group_video,42,10,0.0001,2026-06-28T22:20:31,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\segformer_roi_50ep_group_video_earlystop,controlled_experimental,10.0,dice,0.9702300137222404,202.0,0.9702300137222404,0.9442175511676486,0.9882831653155902,0.954774806995203,0.9702300137222404,79726.0,77018.89108910892,202.0,0.0,0.9702300137222404,0.9442175511676486,0.9882831653155902,0.954774806995203,0.0,0.0,0.0,79726.0,77018.89108910892,0.9702300137222404,0.0854928743204858,,,,,,,,,,,,,,,,,,,,,,,
segformer_roi_50ep_group_video_earlystop,test,ROI,segformer,50,512,full_resize,none,natural,False,group_video,42,10,0.0001,2026-06-28T22:20:31,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\segformer_roi_50ep_group_video_earlystop,controlled_experimental,,,,,,,,,,,,,,,,,,,,,,,,,101.0,0.9879626814681703,0.9763036801083254,0.9928747917165852,0.9831810150996292,0.9879626814681703,80788.0,80000.43564356436,101.0,0.0,0.9879626814681703,0.9763036801083254,0.9928747917165852,0.9831810150996292,0.0,0.0,0.0,80788.0,80000.43564356436,0.9879626814681703,0.0348062958605218,3714401.0,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\segformer_roi_50ep_group_video_earlystop\best_model.pth
segformer_roi_pretrained_mitb0_50ep,validation,ROI,segformer,50,512,full_resize,none,natural,True,group_video,42,10,0.0001,2026-06-29T01:57:01,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\segformer_roi_pretrained_mitb0_50ep,controlled_experimental,23.0,dice,0.9863641318118218,202.0,0.9863641318118218,0.9735876009015754,0.9899003310958938,0.9830138526930668,0.9863641318118218,79726.0,79162.96534653465,202.0,0.0,0.9863641318118218,0.9735876009015754,0.9899003310958938,0.9830138526930668,0.0,0.0,0.0,79726.0,79162.96534653465,0.9863641318118218,0.0465259939330713,,,,,,,,,,,,,,,,,,,,,,,
segformer_roi_pretrained_mitb0_50ep,test,ROI,segformer,50,512,full_resize,none,natural,True,group_video,42,10,0.0001,2026-06-29T01:57:01,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\segformer_roi_pretrained_mitb0_50ep,controlled_experimental,,,,,,,,,,,,,,,,,,,,,,,,,101.0,0.9926013728179554,0.9853240558416536,0.9955010827225034,0.989750584753433,0.9926013728179554,80788.0,80324.17821782178,101.0,0.0,0.9926013728179554,0.9853240558416536,0.9955010827225034,0.989750584753433,0.0,0.0,0.0,80788.0,80324.17821782178,0.9926013728179554,0.0227400075164761,3714401.0,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\segformer_roi_pretrained_mitb0_50ep\best_model.pth
smoke_unet_roi_2ep,validation,ROI,unet,2,128,full_resize,none,natural,False,coco,42,0,0.0,2026-06-27T00:49:47,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\smoke_unet_roi_2ep,preliminary_smoke,2.0,dice,0.9993358778429556,182.0,0.9993358778429556,0.9986744961895786,0.9997218264328256,0.9989514514640138,0.9993358778429556,5000.82967032967,4996.978021978022,182.0,0.0,0.9993358778429556,0.9986744961895786,0.9997218264328256,0.9989514514640138,0.0,0.0,0.0,5000.82967032967,4996.978021978022,0.9993358778429556,0.0032925856002903,,,,,,,,,,,,,,,,,,,,,,,
smoke_unet_roi_2ep,test,ROI,unet,2,128,full_resize,none,natural,False,coco,42,0,0.0,2026-06-27T00:49:47,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\smoke_unet_roi_2ep,preliminary_smoke,,,,,,,,,,,,,,,,,,,,,,,,,91.0,0.9993642935386072,0.998731248326354,0.9997523348410052,0.9989780141757084,0.9993642935386072,5002.406593406594,4998.538461538462,91.0,0.0,0.9993642935386072,0.998731248326354,0.9997523348410052,0.9989780141757084,0.0,0.0,0.0,5002.406593406594,4998.538461538462,0.9993642935386072,0.003298243251885,24436369.0,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\smoke_unet_roi_2ep\best_model.pth
unet_higado_50ep_group_video_earlystop,validation,Higado,unet,50,512,full_resize,none,natural,False,group_video,42,10,0.0001,2026-06-27T11:28:11,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\unet_higado_50ep_group_video_earlystop,controlled_experimental,10.0,dice,0.8988474436325602,202.0,0.8988474436325602,0.8239684016397684,0.9106496056117632,0.8992278180500068,0.8988474436325602,33851.96534653466,33461.89603960396,202.0,0.0,0.8988474436325602,0.8239684016397684,0.9106496056117632,0.8992278180500068,0.0,0.0,0.0,33851.96534653466,33461.89603960396,0.8988474436325602,0.2335459368653816,,,,,,,,,,,,,,,,,,,,,,,
unet_higado_50ep_group_video_earlystop,test,Higado,unet,50,512,full_resize,none,natural,False,group_video,42,10,0.0001,2026-06-27T11:28:11,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\unet_higado_50ep_group_video_earlystop,controlled_experimental,,,,,,,,,,,,,,,,,,,,,,,,,101.0,0.9292906853232054,0.8701684781820467,0.9031426469878396,0.96050365313445,0.9292906853232054,28581.712871287127,30529.43564356436,101.0,0.0,0.9292906853232054,0.8701684781820467,0.9031426469878396,0.96050365313445,0.0,0.0,0.0,28581.712871287127,30529.43564356436,0.9292906853232054,0.1361369687584367,24436369.0,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\unet_higado_50ep_group_video_earlystop\best_model.pth
unet_la_50ep_group_video_balanced,validation,LA,unet,50,512,full_resize,none,balanced_la,False,group_video,42,15,0.0001,2026-06-27T19:08:47,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\unet_la_50ep_group_video_balanced,controlled_experimental,26.0,combined_la_score,0.3153852520470497,202.0,0.7738365411655898,0.7624492056417743,0.7846871919311079,0.9565303058243624,0.7738365411655898,89.82178217821782,87.05445544554455,16.0,186.0,0.519686327315867,0.375921216327697,0.6566757932305336,0.4511951110325753,38.0,0.2043010752688172,33.3494623655914,1134.0,711.375,0.3153852520470497,0.9628965872349126,,,,,,,,,,,,,,,,,,,,,,,
