class_name,architecture,transfer_initialization,validation_metric,validation_score,internal_test_images,test_dice,test_iou,test_recall,test_positive_dice,test_empty_gt_false_positive_rate,selected
ROI,U-Net,ImageNet ResNet-34,validation Dice,0.9927436349415544,101,0.9922430940193704,0.9846071134699452,0.985052189024368,,,False
ROI,DeepLabV3+,ImageNet ResNet-34,validation Dice,0.9947925670312183,101,0.9929242529491387,0.9859479606741726,0.9865254222756565,,,True
ROI,SegFormer,ImageNet-1k MiT-B0,validation Dice,0.9863641318118218,101,0.9926013728179554,0.9853240558416536,0.989750584753433,,,False
Higado,U-Net,ImageNet ResNet-34,validation Dice,0.9256624732867326,101,0.9404043171665456,0.8879003330032424,0.9531572437522435,,,False
Higado,DeepLabV3+,ImageNet ResNet-34,validation Dice,0.9327811775821272,101,0.9416169276331910,0.8901949790444704,0.9438577536309120,,,True
Higado,SegFormer,ImageNet-1k MiT-B0,validation Dice,0.8948949666896670,101,0.9235013469611064,0.8611005963665423,0.9694757290405802,,,False
LA,U-Net,ImageNet ResNet-34,validation combined LA score,0.3226448652780144,101,0.8424789182764321,,,0.8198249220957429,0.1304347826086956,True
LA,DeepLabV3+,ImageNet ResNet-34,validation combined LA score,0.2674808122758423,101,0.8114233850305419,,,0.8355229410358020,0.2173913043478260,False
LA,SegFormer,ImageNet-1k MiT-B0,validation combined LA score,0.1893469434850887,101,0.7487548219759866,,,0.7386224828246165,0.2391304347826087,False
