quality,video,frame_index,mask_threshold,roi_present,liver_present,liver_roi_ratio,liver_ratio_ok,raw_la_area_px,la_area_px,la_present,la_area_ok,la_std,la_std_ok,glcm_entropy,la_entropy_ok,border_evidence,base_lumen_rule,raw_capture,decision
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,3,0.7,1,1,0.4557026178010471,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,3,0.8,1,1,0.45071014018024375,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,3,0.9,1,1,0.4417899127796739,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,4,0.1,1,1,0.4830301699675641,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,4,0.2,1,1,0.475856222025509,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,4,0.3,1,1,0.4713802328585597,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,4,0.4,1,1,0.46731546088872566,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,4,0.5,1,1,0.46343052886623776,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,4,0.6,1,1,0.45956480463048544,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,4,0.7,1,1,0.45553698654235203,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,4,0.8,1,1,0.45045881191861076,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,4,0.9,1,1,0.4415268127636086,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,5,0.1,1,1,0.48123985154256554,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,5,0.2,1,1,0.47444879370382376,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,5,0.3,1,1,0.47000879214290775,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,5,0.4,1,1,0.4660510569404224,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,5,0.5,1,1,0.46211140166927056,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,5,0.6,1,1,0.4582340099867011,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,5,0.7,1,1,0.4542004875229312,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,5,0.8,1,1,0.4491202284466468,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,5,0.9,1,1,0.43955710602153797,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,6,0.1,1,1,0.48069562047424147,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,6,0.2,1,1,0.47392,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,6,0.3,1,1,0.4695088662457544,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,6,0.4,1,1,0.465433922579999,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,6,0.5,1,1,0.4615236790214231,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,6,0.6,1,1,0.4576115233084342,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,6,0.7,1,1,0.4535519812348161,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,6,0.8,1,1,0.44845977783843943,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,6,0.9,1,1,0.43852396844660196,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,7,0.1,1,1,0.48174230028375553,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,7,0.2,1,1,0.4749448366708359,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,7,0.3,1,1,0.470418614729438,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,7,0.4,1,1,0.46623992789394403,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,7,0.5,1,1,0.46245133586191917,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,7,0.6,1,1,0.4584866836188437,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,7,0.7,1,1,0.4542579880467242,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,7,0.8,1,1,0.44925400084825123,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,7,0.9,1,1,0.43915141045357825,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,8,0.1,1,1,0.4825470603831113,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,8,0.2,1,1,0.4756458423379991,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,8,0.3,1,1,0.4712287778898326,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,8,0.4,1,1,0.4670992780536661,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,8,0.5,1,1,0.4631596977077424,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,8,0.6,1,1,0.45915174836874684,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,8,0.7,1,1,0.45494338863919104,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,8,0.8,1,1,0.4497738468710234,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,8,0.9,1,1,0.43989094065789586,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,9,0.1,1,1,0.4823555240734527,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,9,0.2,1,1,0.47546583334718506,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,9,0.3,1,1,0.4710500327106503,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,9,0.4,1,1,0.4670191412916929,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,9,0.5,1,1,0.46311651746738575,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,9,0.6,1,1,0.4590542388617743,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
