quality,video_frames,evaluated_after_warmup,capture,doubtful,adjust,capture_rate,mean_probability_informative,min_probability_informative,max_probability_informative
clear,101,17,17,0,0,1.0,0.8302499672228159,0.7936216077828981,0.8520714285714286
medium,101,17,13,4,0,0.7647058823529411,0.6788123222723625,0.5494549411162316,0.7943160522273427
blurry,101,17,0,17,0,0.0,0.5505059797019839,0.4506062016204332,0.6354516943629848
